fintype	type	index	image	md_path	background_story	information	round	question	A	B	C	D	answer
产业分析推断	sdt	210392	data/figure/sdt/2022-11-13--文化传媒-博纳影业-深度报告：深耕主旋律商业化，布局全产业链稳中求胜_page39_图表公司电影放映业务主要供应商.jpg				3.0	2021年供应商中，采购金额占比最大的供应商是？	爱麦克斯（上海）	江苏幸福蓝海	湖北银兴院线影业		A
产业分析推断	lc	210440	data/figure/lc/2024-09-30--国泰期货-海外研究：海外宏观及大类资产周度报告_page12_no_caption.jpg				2.0	根据图表数据，意大利-德国110年期利差在2024年第一季度末达到最高点，请问这个现象可能意味着什么？	意大利经济状况良好	意大利经济状况不佳	无法确定		B
产业分析推断	lc	210440	data/figure/lc/2024-09-30--国泰期货-海外研究：海外宏观及大类资产周度报告_page12_no_caption.jpg				3.0	如果意大利-德国110年期利差持续上升，对意大利金融市场会产生什么影响？	意大利股市上涨	意大利债券市场压力增大	意大利外汇储备增加		B
产业分析推断	lc	210440	data/figure/lc/2024-09-30--国泰期货-海外研究：海外宏观及大类资产周度报告_page12_no_caption.jpg				4.0	假设希腊-德国10年期利差在未来几个月内显著下降，你认为这会对欧元区整体金融稳定产生什么影响？	增强欧元区金融稳定性	削弱欧元区金融稳定性	不影响欧元区金融稳定性		A
产业分析推断	lc	210440	data/figure/lc/2024-09-30--国泰期货-海外研究：海外宏观及大类资产周度报告_page12_no_caption.jpg				5.0	为什么西班牙-德国10年期利差在右轴上显示，而其他两个国家的利差在左轴上显示？	西班牙的数据波动较大	西班牙的数据波动较小	西班牙的数据波动适中		A
产业分析推断	lc	210440	data/figure/lc/2024-09-30--国泰期货-海外研究：海外宏观及大类资产周度报告_page12_no_caption.jpg				6.0	从长期来看，这些国家与德国的利差反映了哪些宏观经济因素？	利率政策、经济增长差异、信用风险	通货膨胀率、汇率波动、国际收支	货币政策、财政政策、贸易平衡		A
产业分析推断	lc	210477	data/figure/lc/2024-09-10--国投安信期货-专题报告：美元流动性观察2024年8月_page5_no_caption.jpg				1.0	请你描述一下这个图片，以下为选项	这张图表展示了2024年8月CNH HIBOR隔夜和6个月的走势	这张图表展示了2024年8月CNH HIBOR隔夜和6个月的波动情况	这张图表展示了2024年8月CNH HIBOR隔夜和6个月的利率变化		A
产业分析推断	lc	210477	data/figure/lc/2024-09-10--国投安信期货-专题报告：美元流动性观察2024年8月_page5_no_caption.jpg				2.0	根据图中数据，哪一种类型的贷款成本更高？	隔夜贷款	6个月贷款	无法确定		B
产业分析推断	lc	210477	data/figure/lc/2024-09-10--国投安信期货-专题报告：美元流动性观察2024年8月_page5_no_caption.jpg				3.0	为什么6个月贷款的成本高于隔夜贷款？	6个月贷款的市场需求更大	6个月贷款的风险更高	6个月贷款的流动性更强		B
产业分析推断	lc	210477	data/figure/lc/2024-09-10--国投安信期货-专题报告：美元流动性观察2024年8月_page5_no_caption.jpg				4.0	在金融理论中，这种现象通常被称为什么？	期限结构效应	流动性溢价	风险溢价		A
产业分析推断	lc	210477	data/figure/lc/2024-09-10--国投安信期货-专题报告：美元流动性观察2024年8月_page5_no_caption.jpg				5.0	如果市场预期未来利率会上升，那么6个月贷款的成本可能会如何变化？	上升	下降	无法确定		A
产业分析推断	lc	210477	data/figure/lc/2024-09-10--国投安信期货-专题报告：美元流动性观察2024年8月_page5_no_caption.jpg				6.0	基于上述分析，对于投资者来说，在当前环境下选择哪种类型的贷款更为有利？	隔夜贷款	6个月贷款	无法确定		A
产业分析推断	lc	210496	data/figure/lc/2024-09-02--宏信证券-市场流动性周报_page2_图3短期shibor走势.jpg				5.0	长期来看（如未来一年），隔夜shibor走势是否会持续稳定？以下为选项	是的	不一定	不会		B
产业分析推断	lc	210496	data/figure/lc/2024-09-02--宏信证券-市场流动性周报_page2_图3短期shibor走势.jpg				6.0	如果隔夜shibor继续保持稳定，对金融市场有何影响？以下为选项	市场风险增加	市场流动性紧张	市场信心增强		C
