fintype	type	index	image	md_path	background_story	information	round	question	A	B	C	D	answer
投资分析	sdt	210410	data/figure/sdt/2022-11-02--煤炭行业-中煤能源-中煤能源：低估的央企煤炭巨头_page25_表15中煤能源分板块盈利预测亿元.jpg				3.0	2020年煤炭业务毛利率为多少？	-37.27%	93.39%	43.37%		A
投资分析	sdt	210410	data/figure/sdt/2022-11-02--煤炭行业-中煤能源-中煤能源：低估的央企煤炭巨头_page25_表15中煤能源分板块盈利预测亿元.jpg				4.0	2021年煤炭业务毛利率相较于2020年如何变化？	下降	上升	不变		A
投资分析	sdt	210410	data/figure/sdt/2022-11-02--煤炭行业-中煤能源-中煤能源：低估的央企煤炭巨头_page25_表15中煤能源分板块盈利预测亿元.jpg				5.0	2021年煤炭业务毛利率的变化趋势是什么？	持续下降	先升后降	先降后升		C
投资分析	sdt	210410	data/figure/sdt/2022-11-02--煤炭行业-中煤能源-中煤能源：低估的央企煤炭巨头_page25_表15中煤能源分板块盈利预测亿元.jpg				6.0	根据图表数据，煤炭业务毛利率在2022年至2024年的预测值是多少？	26.45%	12.18%	49.63%		B
投资分析	lc	210463	data/figure/lc/2024-09-18--平安证券-中国经济高频观察（9月第2周）：汽车消费同比恢复_page7_图表29本周四五线城市新房销售同比37.jpg				1.0	请你描述一下这个图片，以下为选项	这是一张关于商品房成交面积指数的图表，显示了2023年、2021年和2022年的数据。	这张图表展示了汽车消费同比恢复的情况。	这是一个关于汽车消费同比恢复的图表。		A
投资分析	lc	210527	data/figure/lc/2024-08-16--招商银行-中国经济数据点评（2024年7月）：提振需求，夯实动能_page4_图5房地产销售投资累计降幅相对稳定.jpg				4.0	根据图中的数据，你认为未来几年工业增加值增速可能会如何变化？以下为选项	持续上升	波动较大	趋于平稳		C
投资分析	lc	210527	data/figure/lc/2024-08-16--招商银行-中国经济数据点评（2024年7月）：提振需求，夯实动能_page4_图5房地产销售投资累计降幅相对稳定.jpg				5.0	结合金融理论，你认为政府应该如何应对当前的工业增加值增速情况？以下为选项	继续实施宽松货币政策	加强房地产市场调控	加大基础设施建设力度		C
投资分析	lc	210527	data/figure/lc/2024-08-16--招商银行-中国经济数据点评（2024年7月）：提振需求，夯实动能_page4_图5房地产销售投资累计降幅相对稳定.jpg				6.0	如果政府采取了加大基础设施建设力度的措施，这将对工业增加值增速产生什么影响？以下为选项	短期内会降低工业增加值增速	短期内会提高工业增加值增速	长期来看会提高工业增加值增速		C
投资分析	lc	210535	data/figure/lc/2024-08-12--民生证券-宏观事件点评：全球市场企稳了吗？_page4_图8RealClearPolitics显示哈里斯获胜概率反超.jpg				1.0	请你描述一下这个图片，以下为选项	这是一张显示不同候选人支持率变化的图表	这是一张显示不同国家股市波动的图表	这是一张显示不同行业利润趋势的图表		A
投资分析	lc	210535	data/figure/lc/2024-08-12--民生证券-宏观事件点评：全球市场企稳了吗？_page4_图8RealClearPolitics显示哈里斯获胜概率反超.jpg				2.0	结合金融理论，这种支持率的变化可能对金融市场产生什么影响？	可能导致市场波动加剧	可能导致市场稳定	与金融市场无关		A
投资分析	lc	210541	data/figure/lc/2024-08-12--万联证券-7月通胀数据点评：CPI温和抬升，需求有待修复_page2_图表3核心CPI服务项同比下滑.jpg				1.0	请你描述一下这个图片，以下为选项	这张图表展示了2019年7月至2024年7月的服务价格和服务成本的变化趋势。	这张图表展示了2019年7月至2024年7月的食品和能源价格变化趋势。	这张图表展示了2019年7月至2024年7月的核心CPI服务项同比变化趋势。		C
投资分析	lc	210541	data/figure/lc/2024-08-12--万联证券-7月通胀数据点评：CPI温和抬升，需求有待修复_page2_图表3核心CPI服务项同比下滑.jpg				2.0	根据图中数据，服务价格和服务成本的趋势如何？以下为选项	服务价格和服务成本均呈上升趋势	服务价格和服务成本均呈下降趋势	服务价格呈上升趋势，服务成本呈下降趋势		C
投资分析	lc	210541	data/figure/lc/2024-08-12--万联证券-7月通胀数据点评：CPI温和抬升，需求有待修复_page2_图表3核心CPI服务项同比下滑.jpg				3.0	从图中可以看出，核心CPI服务项同比变化趋势与整体CPI相比有何不同？以下为选项	核心CPI服务项同比变化趋势与整体CPI一致	核心CPI服务项同比变化趋势与整体CPI相反	核心CPI服务项同比变化趋势比整体CPI更剧烈		B
投资分析	lc	210541	data/figure/lc/2024-08-12--万联证券-7月通胀数据点评：CPI温和抬升，需求有待修复_page2_图表3核心CPI服务项同比下滑.jpg				4.0	根据图中的数据，你认为未来几个月服务价格和服务成本可能会如何变化？以下为选项	服务价格和服务成本将继续保持稳定	服务价格和服务成本将出现大幅波动	服务价格和服务成本可能会上升，但幅度较小		C
投资分析	lc	210541	data/figure/lc/2024-08-12--万联证券-7月通胀数据点评：CPI温和抬升，需求有待修复_page2_图表3核心CPI服务项同比下滑.jpg				5.0	结合金融理论，你认为当前经济环境下，政府应采取何种措施来应对服务价格和服务成本的变化？以下为选项	增加货币供应量以刺激经济增长	减少财政支出以抑制通货膨胀	调整税收政策以促进服务业发展		C
投资分析	lc	210541	data/figure/lc/2024-08-12--万联证券-7月通胀数据点评：CPI温和抬升，需求有待修复_page2_图表3核心CPI服务项同比下滑.jpg				6.0	如果政府选择调整税收政策以促进服务业发展，这会对未来的经济状况产生什么影响？以下为选项	短期内会加剧通货膨胀压力，长期有利于经济发展	短期内有利于降低服务价格，长期不利于经济发展	短期内有利于促进服务业发展，长期有利于经济发展		C
投资分析	lc	210559	data/figure/lc/2024-08-04--招商银行-宏观经济月报（2024年7月）：海外经济走向分化，中国经济波动修复_page9_图19二季度实际GDP增速47低于市场预期.jpg				1.0	请你描述一下这个图片，以下为选项	这张图表展示了2018年至2024年间的季度GDP名义、实际增速与平减指数的变化情况。	这张图表展示了2009年至2013年间的季度GDP名义、实际增速与平减指数的变化情况。	这张图表展示了2018年至2024年间的季度GDP名义、实际增速与平减指数的变化情况，但数据范围不包括2009年至2013年。		A
投资分析	lc	210559	data/figure/lc/2024-08-04--招商银行-宏观经济月报（2024年7月）：海外经济走向分化，中国经济波动修复_page9_图19二季度实际GDP增速47低于市场预期.jpg				2.0	从图中可以看出，哪个时间段的名义GDP增速最高？	2018-2019年	2019-2010年	2010-2011年		A
投资分析	lc	210559	data/figure/lc/2024-08-04--招商银行-宏观经济月报（2024年7月）：海外经济走向分化，中国经济波动修复_page9_图19二季度实际GDP增速47低于市场预期.jpg				3.0	在2018-2019年间，名义GDP增速为何会出现如此高的增长？	由于该时期内发生了大规模的经济刺激政策	由于该时期内发生了大规模的经济衰退	由于该时期内发生了大规模的经济刺激政策和全球经济复苏		C
投资分析	lc	210559	data/figure/lc/2024-08-04--招商银行-宏观经济月报（2024年7月）：海外经济走向分化，中国经济波动修复_page9_图19二季度实际GDP增速47低于市场预期.jpg				4.0	根据图中的数据，实际GDP增速在2019-2020年间有何变化趋势？	持续上升	先升后降	先降后升		B
投资分析	lc	210559	data/figure/lc/2024-08-04--招商银行-宏观经济月报（2024年7月）：海外经济走向分化，中国经济波动修复_page9_图19二季度实际GDP增速47低于市场预期.jpg				5.0	实际GDP增速在2019-2020年间的变化趋势反映了什么经济现象?	经济复苏	经济衰退	经济波动加剧		A
投资分析	lc	210559	data/figure/lc/2024-08-04--招商银行-宏观经济月报（2024年7月）：海外经济走向分化，中国经济波动修复_page9_图19二季度实际GDP增速47低于市场预期.jpg				6.0	平减指数增速在2018-2019年间为何出现大幅下降?	由于该时期内发生了大规模的经济刺激政策	由于该时期内发生了大规模的经济衰退	由于该时期内发生了大规模的经济刺激政策和全球经济复苏		C
投资分析	lc	210597	data/figure/lc/2024-07-21--麦高证券-麦高研究之每日市场观察_page5_图表6IHIFICIM基差走势.jpg				6.0	结合金融理论，基差的变化反映了市场对未来价格预期的变化。根据图中基差的变化，可以推测出市场对未来价格的预期是？	上涨	下跌	不确定		C
投资分析	lc	210617	data/figure/lc/2024-07-09--国联证券-美国6月非农就业数据点评：失业率升破美联储6月预期_page23_图表46劳动力供给和劳动力需求百万人.jpg				1.0	请你描述一下这个图片，以下为选项	显示了美国劳动力供给和需求的变化趋势	显示了美国股市的波动情况	显示了美国GDP的增长情况		A
投资分析	lc	210617	data/figure/lc/2024-07-09--国联证券-美国6月非农就业数据点评：失业率升破美联储6月预期_page23_图表46劳动力供给和劳动力需求百万人.jpg				2.0	根据图表，哪一年劳动力供给和需求出现了明显的下降？	2008年	2010年	2020年		C
投资分析	lc	210617	data/figure/lc/2024-07-09--国联证券-美国6月非农就业数据点评：失业率升破美联储6月预期_page23_图表46劳动力供给和劳动力需求百万人.jpg				3.0	为什么2020年劳动力供给和需求会出现明显下降？	经济衰退导致企业裁员	全球金融危机的影响	新冠疫情导致经济活动减少		C
投资分析	lc	210617	data/figure/lc/2024-07-09--国联证券-美国6月非农就业数据点评：失业率升破美联储6月预期_page23_图表46劳动力供给和劳动力需求百万人.jpg				4.0	从图表中可以看出，2020年后劳动力需求恢复的速度与劳动力供给相比如何？	需求恢复更快	供给恢复更快	两者恢复速度相同		A
投资分析	lc	210617	data/figure/lc/2024-07-09--国联证券-美国6月非农就业数据点评：失业率升破美联储6月预期_page23_图表46劳动力供给和劳动力需求百万人.jpg				5.0	这种劳动力需求快速恢复的现象可能对失业率产生什么影响？	失业率上升	失业率下降	失业率保持不变		B
投资分析	lc	210617	data/figure/lc/2024-07-09--国联证券-美国6月非农就业数据点评：失业率升破美联储6月预期_page23_图表46劳动力供给和劳动力需求百万人.jpg				6.0	如果政府希望进一步降低失业率，可以采取哪些措施？	增加税收以减少企业利润	提供就业培训和再培训计划	限制劳动力市场流动		B
投资分析	pg	210624	data/figure/pg/2024-09-30--化纤行业-新凤鸣-涤纶长丝优质标的，产业链一体化成长可期_page9_图表17涤纶长丝行业产能分布CR62023.jpg				2.0	根据图片，哪一家公司在涤纶长丝行业的产能占比最大？以下为选项	桐昆集团	新凤鸣	江苏盛虹		A
投资分析	pg	210624	data/figure/pg/2024-09-30--化纤行业-新凤鸣-涤纶长丝优质标的，产业链一体化成长可期_page9_图表17涤纶长丝行业产能分布CR62023.jpg				3.0	根据图片，桐昆集团在涤纶长丝行业的产能占比是多少？以下为选项	29.89%	18.52%	17.15%		A
投资分析	pg	210624	data/figure/pg/2024-09-30--化纤行业-新凤鸣-涤纶长丝优质标的，产业链一体化成长可期_page9_图表17涤纶长丝行业产能分布CR62023.jpg				4.0	根据图片，除了桐昆集团外，产能占比第二大的公司是哪一家？以下为选项	新凤鸣	江苏盛虹	浙江恒逸		A
投资分析	pg	210624	data/figure/pg/2024-09-30--化纤行业-新凤鸣-涤纶长丝优质标的，产业链一体化成长可期_page9_图表17涤纶长丝行业产能分布CR62023.jpg				5.0	根据图片，新凤鸣在涤纶长丝行业的产能占比是多少？以下为选项	18.52%	14.93%	17.15%		A
投资分析	pg	210624	data/figure/pg/2024-09-30--化纤行业-新凤鸣-涤纶长丝优质标的，产业链一体化成长可期_page9_图表17涤纶长丝行业产能分布CR62023.jpg				6.0	根据图片，如果将桐昆集团和新凤鸣的产能占比相加，总占比是多少？以下为选项	48.41%	45.41%	40.41%		A
投资分析	pg	210640	data/figure/pg/2024-09-25--小金属-锡业股份-打造全球精锡龙头_page16_图表372023年中国精锡消费结构.jpg				2.0	根据图片，焊料占中国精锡消费的比例是多少？以下为选项	67%	12%	5%		A
投资分析	pg	210640	data/figure/pg/2024-09-25--小金属-锡业股份-打造全球精锡龙头_page16_图表372023年中国精锡消费结构.jpg				4.0	如果焊料的需求下降了10%，那么其他领域的消费比例将如何变化？以下为选项	其他领域的消费比例不变	其他领域的消费比例增加	其他领域的消费比例减少		B
投资分析	pg	210640	data/figure/pg/2024-09-25--小金属-锡业股份-打造全球精锡龙头_page16_图表372023年中国精锡消费结构.jpg				5.0	假设焊料的需求下降了10%，而化工领域的需求增加了5%，那么化工领域的新消费比例将是多少？以下为选项	17%	15%	12%		A
投资分析	pg	210640	data/figure/pg/2024-09-25--小金属-锡业股份-打造全球精锡龙头_page16_图表372023年中国精锡消费结构.jpg				6.0	如果焊料的需求下降了10%，而化工领域的需求增加了5%，那么其他领域的总消费比例将是多少？以下为选项	18%	20%	22%		B
投资分析	pg	210755	data/figure/pg/2024-07-24--光伏设备-德业股份-亚非拉光储爆发，领军者行稳致远_page14_图表252024年15月我国逆变器出口东南亚各国金额亿元.jpg				2.0	根据第一轮的问题，哪个国家是我国逆变器出口的最大市场？	泰国	菲律宾	马来西亚		A
投资分析	pg	210755	data/figure/pg/2024-07-24--光伏设备-德业股份-亚非拉光储爆发，领军者行稳致远_page14_图表252024年15月我国逆变器出口东南亚各国金额亿元.jpg				4.0	根据第三轮的问题，如果我国逆变器出口总额为100亿元，那么泰国的出口额大约是多少？	36亿元	19亿元	9亿元		A
投资分析	pg	210755	data/figure/pg/2024-07-24--光伏设备-德业股份-亚非拉光储爆发，领军者行稳致远_page14_图表252024年15月我国逆变器出口东南亚各国金额亿元.jpg				6.0	根据第五轮的问题，如果泰国的逆变器市场需求在未来一年内增长了10%，那么我国逆变器出口总额需要增长多少才能满足这一需求？	3.6亿元	1.9亿元	0.9亿元		A
投资分析	frg	210815	data/figure/frg/2024-07-24--光伏设备-德业股份-亚非拉光储爆发，领军者行稳致远_page5_no_caption.jpg				1.0	请你描述一下这个图片，以下为选项	这是一张关于公司发展历程的时间线图	这是一张关于公司财务报表的图表	这是一张关于公司组织结构的图表		A
投资分析	frg	210815	data/figure/frg/2024-07-24--光伏设备-德业股份-亚非拉光储爆发，领军者行稳致远_page5_no_caption.jpg				2.0	根据时间线图，公司在哪个阶段开始进入光伏逆变器领域？以下为选项	2007-2015年	2016年至今	2000-2006年		B
投资分析	frg	210815	data/figure/frg/2024-07-24--光伏设备-德业股份-亚非拉光储爆发，领军者行稳致远_page5_no_caption.jpg				3.0	在2016年至今的阶段，公司的主要业务是什么？以下为选项	注塑件、模具、钣金件等产品	热交换器系列、电路控制系列和环境电器系列	光伏逆变器		C
投资分析	frg	210815	data/figure/frg/2024-07-24--光伏设备-德业股份-亚非拉光储爆发，领军者行稳致远_page5_no_caption.jpg				4.0	公司在2019年的逆变器贡献营收是多少？以下为选项	近1亿元	超过10亿元	未提及具体数值		A
投资分析	frg	210815	data/figure/frg/2024-07-24--光伏设备-德业股份-亚非拉光储爆发，领军者行稳致远_page5_no_caption.jpg				5.0	公司在2021年的逆变器收入突破了多少？以下为选项	1亿元	10亿元	未提及具体数值		B
投资分析	frg	210815	data/figure/frg/2024-07-24--光伏设备-德业股份-亚非拉光储爆发，领军者行稳致远_page5_no_caption.jpg				6.0	公司在哪个阶段成为美的全球三家变频控制解决方案供应商之一？以下为选项	2007-2015年	2016年至今	2000-2006年		A
投资分析	frg	210873	data/figure/frg/2024-01-19--美容护理-丸美股份-首次覆盖报告：主品牌蓄力调整可期，恋火打开彩妆第二增长曲线_page12_图9丸美股份研发体系截至22年底.jpg				1.0	请你描述一下这个图片，以下为选项	这是一张丸美股份的研发体系结构图，展示了不同研发中心的组织架构。	这是一张财务报表，展示了公司的收入和支出情况。	这是一张市场分析报告，展示了不同产品的市场份额。		A
投资分析	frg	210873	data/figure/frg/2024-01-19--美容护理-丸美股份-首次覆盖报告：主品牌蓄力调整可期，恋火打开彩妆第二增长曲线_page12_图9丸美股份研发体系截至22年底.jpg				2.0	在研发体系中，哪个中心负责进行产品功效评价？以下为选项	医学检测中心	中试实验中心	应用开发中心		A
投资分析	hg	210901	data/figure/hg/2024-09-27--计算机设备-新国都-深度报告：深耕“支付+终端”，全面推进出海战略_page24_no_caption.jpg				1.0	请你描述一下这个图片，以下为选项	这张图表展示了不同地区在2020年至2022年间的计算机设备数量变化	这张图表展示了不同地区在2020年至2022年间的支付终端数量变化	这张图表展示了不同地区在2020年至2022年间的计算机设备和支付终端数量变化	C	
投资分析	hg	210906	data/figure/hg/2024-09-27--医药商业-百洋医药-公司首次覆盖报告：品牌运营领军者，创新驱动未来增长_page12_图20预计到2033年全球核医学市场规模将超过314亿美元.jpg				1.0	请你描述一下这个图片，以下为选项	这是一张显示全球核医学市场规模的柱状图，从2023年到2033年，市场规模逐年增长。	这张图表展示了不同国家的GDP变化趋势	这是一个关于股票市场波动的折线图	A	
投资分析	hg	210906	data/figure/hg/2024-09-27--医药商业-百洋医药-公司首次覆盖报告：品牌运营领军者，创新驱动未来增长_page12_图20预计到2033年全球核医学市场规模将超过314亿美元.jpg				2.0	根据图表数据，哪个年份的市场规模预计会超过20亿美元？	2025E	2028E	2030E	B	
投资分析	hg	210906	data/figure/hg/2024-09-27--医药商业-百洋医药-公司首次覆盖报告：品牌运营领军者，创新驱动未来增长_page12_图20预计到2033年全球核医学市场规模将超过314亿美元.jpg				3.0	在2028年至2030年间，市场规模的增长速度如何？	保持稳定	逐渐放缓	加速增长	C	
