fintype	type	index	image	md_path	background_story	information	round	question	A	B	C	D	answer
股票k线解读	cc	111074	data/figure/cc/five_k_688687[凯因科技].png					从 K 线图上看，该股票在 12 月 9 日 13:05 的价格趋势是？	上涨	下跌	横盘整理		B
股票k线解读	cc	111082	data/figure/cc/five_k_688662[富信科技].png					从 K 线图中可以看出，12 月 6 日 13:05 的价格与 12 月 5 日 10:10 的价格相比，变化了多少？	上涨了 0.5 元	下跌了 0.5 元	基本持平		B
股票k线解读	cc	111092	data/figure/cc/five_k_688592[司南导航].png					根据 K 线图，该股票在 2024 年 12 月 9 日的收盘价为多少？	41.95 元	42.30 元	39.40 元		A
股票k线解读	cc	111100	data/figure/cc/five_k_688577[浙海德曼].png					从 K 线图中可以看出，该股票在 2024 年 12 月 9 日的最高价和最低价分别是多少？	最高价 42.70，最低价 42.50	最高价 42.51，最低价 42.65	最高价 42.65，最低价 42.50		A
股票k线解读	cc	111110	data/figure/cc/five_k_688515[裕太微-U].png					从 K 线图中可以看出，该股票在 2024 年 12 月 6 日 09:35 的最低价是多少？	89.11	90.11	91.11		A
股票k线解读	cc	111156	data/figure/cc/five_k_688301[奕瑞科技].png					从 K 线图中可以看出，该股票在 2024 年 12 月 5 日至 12 月 9 日期间的 KDJ 指标中的 J 值在 12 月 9 日收盘时为多少？	-4.86	20.81	12.25		A
股票k线解读	cc	111161	data/figure/cc/five_k_688290[景业智能].png					根据 K 线图，该股票在 2024 年 12 月 9 日的收盘价为多少？	40.56 元	40.50 元	40.60 元		A
股票k线解读	cc	111176	data/figure/cc/five_k_688190[云路股份].png					根据 K 线图，该股票在 2024 年 12 月 9 日的最高价是多少？	82.5	82.48	82		B
股票k线解读	cc	111182	data/figure/cc/five_k_688160[步科股份].png					根据 K 线图，该股票在 2024 年 12 月 9 日的收盘价为多少？	59.5	60.56	58.96		A
股票k线解读	cc	111190	data/figure/cc/five_k_688113[联测科技].png					根据 BOLL 指标，该股票在 2024 年 12 月 9 日的上轨值和下轨值分别是多少？	上轨 30.85，下轨 30.04	上轨 31.66，下轨 30.44	上轨 30.50，下轨 30.00		A
股票k线解读	cc	111192	data/figure/cc/five_k_688108[赛诺医疗].png					根据 K 线图，该股票在 2024 年 12 月 9 日的收盘价为多少？	11.21 元	11.25 元	11.30 元		A
股票k线解读	cc	111212	data/figure/cc/daily_k_688681[科汇股份].png					根据 K 线图，2024年12月9日的最低价是多少？	7.75元	8.00元	8.25元		A
股票k线解读	cc	111216	data/figure/cc/daily_k_688663[新风光].png					根据 K 线图，2024年12月9日的收盘价为多少？	22.61	22.3	22.88		A
股票k线解读	cc	111226	data/figure/cc/daily_k_688610[埃科光电].png					根据 K 线图，2024年5月31日至2024年12月9日的最高价是多少？	45.60元	40.79元	39.90元		A
股票k线解读	cc	111227	data/figure/cc/daily_k_688603[天承科技].png					从 K 线图中可以看出，该股票在 2024 年 12 月 11 日出现了什么技术形态？	头肩顶	双底	上升趋势线突破		C
股票k线解读	cc	111228	data/figure/cc/daily_k_688600[皖仪科技].png					根据 K 线图，2024年12月9日的收盘价为多少？	16.60元	15.72元	16.87元		A
股票k线解读	cc	111231	data/figure/cc/daily_k_688595[芯海科技].png					从 K 线图中可以看出，该股票在 2024 年 10 月 10 日出现了明显的长上影线，这通常意味着什么？	市场可能即将反转	市场将继续上涨	市场将保持平稳		A
股票k线解读	cc	111237	data/figure/cc/daily_k_688550[端联新材].png					从 K 线图中可以看出，该股票在 2024 年 12 月 10 日至 12 月 12 日期间出现了明显的上升趋势。请问这段时间内成交量的变化情况如何？	逐渐减少	逐渐增加	保持不变		B
股票k线解读	cc	111272	data/figure/cc/daily_k_688299[长阳科技].png					根据 K 线图，该股票在 2024 年 12 月 9 日的收盘价为多少？	18.05 元	17.75 元	18.30 元		A
股票k线解读	cc	120923	data/figure/cc/five_k_688613[奥精医疗].png					从 K 线图上看，该股票在 12 月 6 日至 12 月 9 日期间，哪一天的成交量最大？	12 月 6 日	12 月 7 日	12 月 8 日	12 月 9 日	D
股票k线解读	cc	120943	data/figure/cc/five_k_688472[阿特斯]1.png					从 K 线图中可以看出，MACD 指标在 12 月 9 日的 DIF 值和 DEA 值分别是多少？	DIF: 0.0110, DEA: 0.0104	DIF: 0.0104, DEA: 0.0110	DIF: 0.0012, DEA: 0.0104	DIF: 0.0110, DEA: 0.0012	A
股票k线解读	cc	120947	data/figure/cc/five_k_688403[汇成股份].png					根据 MACD 指标，以下哪个时间段内出现了金叉信号？	2024/12/05 10:00 - 10:30	2024/12/06 13:00 - 13:30	2024/12/08 15:00 - 15:30	2024/12/09 09:35 - 10:00	D
股票k线解读	cc	120963	data/figure/cc/five_k_688330[宏力达1.png					从 K 线图中可以看出，MACD 指标在 12 月 9 日的 DIF 值和 DEA 值分别是多少？	DIF: -0.0215, DEA: -0.0375	DIF: 0.0321, DEA: -0.0375	DIF: -0.0215, DEA: 0.0321	DIF: 0.0321, DEA: -0.0215	A
股票k线解读	cc	120988	data/figure/cc/five_k_688120[华海清科].png					从 BOLL 指标来看，该股票在 12 月 9 日的价格处于什么位置？	上轨上方	中轨附近	下轨下方	下轨附近	D
股票k线解读	cc	121009	data/figure/cc/daily_k_688646[逸飞激光].png					从 K 线图中可以看出，该股票在 2024 年 12 月 9 日至 12 月 12 日期间，股价出现了明显的上升趋势。请问在这段时间内，哪一天的成交量最大？	2024 年 12 月 9 日	2024 年 12 月 10 日	2024 年 12 月 11 日	2024 年 12 月 12 日	D
股票k线解读	cc	121021	data/figure/cc/daily_k_688522[纳睿雷达].png					从 K 线图中可以看出，该股票在 2024 年 12 月 9 日的最高价和最低价分别是多少？	最高价 56.60，最低价 55.03	最高价 56.54，最低价 55.20	最高价 55.20，最低价 55.03	最高价 56.60，最低价 55.20	A
