fintype	type	index	image	md_path	background_story	information	round	question	A	B	C	D	answer
财务指标分析	fs	210236	data/figure/fs/2024-09-16--文化传媒-城市传媒-城市传媒：经营端稳健，教育新业态亮点频现_page2_盈利预测表百万元.jpg				1.0	根据利润表，2023年的营业利润是多少？	349百万元	433百万元	501百万元		A
财务指标分析	fs	210236	data/figure/fs/2024-09-16--文化传媒-城市传媒-城市传媒：经营端稳健，教育新业态亮点频现_page2_盈利预测表百万元.jpg				2.0	根据主要财务比率表，2023年的毛利率是多少？	30.52%	30.69%	32.74%		A
财务指标分析	fs	210236	data/figure/fs/2024-09-16--文化传媒-城市传媒-城市传媒：经营端稳健，教育新业态亮点频现_page2_盈利预测表百万元.jpg				3.0	根据主要财务比率表，2023年的净利润率是多少？	15.15%	10.98%	11.46%		A
财务指标分析	fs	210236	data/figure/fs/2024-09-16--文化传媒-城市传媒-城市传媒：经营端稳健，教育新业态亮点频现_page2_盈利预测表百万元.jpg				4.0	根据主要财务比率表，2023年的ROE是多少？	12.41%	9.37%	10.11%		A
财务指标分析	fs	210236	data/figure/fs/2024-09-16--文化传媒-城市传媒-城市传媒：经营端稳健，教育新业态亮点频现_page2_盈利预测表百万元.jpg				5.0	根据主要财务比率表，2023年的R0IC是多少？	15.88%	18.15%	19.18%		A
财务指标分析	fs	210249	data/figure/fs/2024-09-10--航天航空-中航机载-机载龙头聚焦主业，提质增效良性发展_page1_财务预测摘要.jpg				1.0	根据资产负债表，2023年的流动资产总额是多少？	55,470.08	64,429.66	73,523.42		A
财务指标分析	fs	210249	data/figure/fs/2024-09-10--航天航空-中航机载-机载龙头聚焦主业，提质增效良性发展_page1_财务预测摘要.jpg				2.0	根据利润表，2023年的营业利润是多少？	2,229.68	2,149.09	2,083.78		A
财务指标分析	fs	210249	data/figure/fs/2024-09-10--航天航空-中航机载-机载龙头聚焦主业，提质增效良性发展_page1_财务预测摘要.jpg				3.0	根据主要财务比率，2023年的毛利率是多少？	29.73%	29.32%	29.20%		A
财务指标分析	fs	210278	data/figure/fs/2024-09-02--化学制药-仙琚制药-利润环比加速增长，经营趋势不断向好_page7_图表13仙琚制药财务报表预测.jpg				1.0	根据资产负债表，2023年现金为多少？	1,660.04	3,999.87	5,430.05		A
财务指标分析	fs	210278	data/figure/fs/2024-09-02--化学制药-仙琚制药-利润环比加速增长，经营趋势不断向好_page7_图表13仙琚制药财务报表预测.jpg				2.0	根据利润表，2023年的营业成本是多少？	11,943.12	1,943.12	1,493.11		B
财务指标分析	fs	210278	data/figure/fs/2024-09-02--化学制药-仙琚制药-利润环比加速增长，经营趋势不断向好_page7_图表13仙琚制药财务报表预测.jpg				3.0	根据主要财务比率，2023年的毛利率是多少？	52.9%	55.1%	56.5%		A
财务指标分析	sdt	210328	data/figure/sdt/2022-12-21--半导体-杰华特-杰华特深度报告：大陆稀缺虚拟IDM玩家，率先布局服务器DCDC_page30_图表68TIDrMOS梳理.jpg				1.0	在表格中，哪种产品的持续输出电流为20A？	CSD95492QVM	CSD97394Q4M	CSD95379Q3M		A
财务指标分析	sdt	210328	data/figure/sdt/2022-12-21--半导体-杰华特-杰华特深度报告：大陆稀缺虚拟IDM玩家，率先布局服务器DCDC_page30_图表68TIDrMOS梳理.jpg				2.0	如果需要订购数量最多的两种产品，它们的持续输出电流分别是多少？	20A, 25A	25A, 30A	30A, 40A		C
财务指标分析	sdt	210328	data/figure/sdt/2022-12-21--半导体-杰华特-杰华特深度报告：大陆稀缺虚拟IDM玩家，率先布局服务器DCDC_page30_图表68TIDrMOS梳理.jpg				3.0	哪种产品的每10A价格最高？	CSD95496QVM	CSD97396Q4M	CSD95377Q4M		A
财务指标分析	sdt	210328	data/figure/sdt/2022-12-21--半导体-杰华特-杰华特深度报告：大陆稀缺虚拟IDM玩家，率先布局服务器DCDC_page30_图表68TIDrMOS梳理.jpg				4.0	哪种产品的持续输出电流为30A且订购数量为2500个？	CSD97396Q4M	CSD95377Q4M	CSD97396Q4M		A
财务指标分析	sdt	210328	data/figure/sdt/2022-12-21--半导体-杰华特-杰华特深度报告：大陆稀缺虚拟IDM玩家，率先布局服务器DCDC_page30_图表68TIDrMOS梳理.jpg				5.0	哪种产品的持续输出电流为40A且订购数量为1000个？	CSD95482RWJ	CSD95496QVM	CSD97370AQ5M		B
财务指标分析	sdt	210379	data/figure/sdt/2022-11-22--有色金属-金田股份-铜加工与稀土永磁双轮驱动业绩增长，产品迈向高端化_page21_表11部分磁材企业产量及扩产计划吨.jpg				1.0	根据表格数据，中科三环2021年产量为多少？	8702	17000	20000		A
财务指标分析	sdt	210379	data/figure/sdt/2022-11-22--有色金属-金田股份-铜加工与稀土永磁双轮驱动业绩增长，产品迈向高端化_page21_表11部分磁材企业产量及扩产计划吨.jpg				2.0	假设正海磁材计划到2026年前达到3.6万吨的生产能力，那么其2021年的产能与2022年的产能规划相比，哪个更高？	2021年产能	2022年产能规划	无法确定		B
财务指标分析	sdt	210379	data/figure/sdt/2022-11-22--有色金属-金田股份-铜加工与稀土永磁双轮驱动业绩增长，产品迈向高端化_page21_表11部分磁材企业产量及扩产计划吨.jpg				3.0	宁波韵升在包头建设15000吨产能后，其产能将提升至多少万吨？	3.6	3.5	3.7		A
财务指标分析	sdt	210379	data/figure/sdt/2022-11-22--有色金属-金田股份-铜加工与稀土永磁双轮驱动业绩增长，产品迈向高端化_page21_表11部分磁材企业产量及扩产计划吨.jpg				4.0	英洛华在扩产2000吨新产线建设中，其产能将提升至多少万吨？	1.2	1.1	1.3		A
财务指标分析	sdt	210379	data/figure/sdt/2022-11-22--有色金属-金田股份-铜加工与稀土永磁双轮驱动业绩增长，产品迈向高端化_page21_表11部分磁材企业产量及扩产计划吨.jpg				5.0	大地熊2025年的规划产能是多少？	2.1	2.2	2.0		A
财务指标分析	sdt	210403	data/figure/sdt/2022-11-11--纺织服装-华利集团-高效率+重研发+强运营构筑深厚壁垒，携手优质客户共同成长_page40_表15公司营业收入预测.jpg				3.0	2018年Yoy增长率是多少？	-1.0%	2.7%	4.3%		B
财务指标分析	sdt	210403	data/figure/sdt/2022-11-11--纺织服装-华利集团-高效率+重研发+强运营构筑深厚壁垒，携手优质客户共同成长_page40_表15公司营业收入预测.jpg				4.0	2019年产能利用率与2018年相比有何变化？	提高	降低	不变		A
财务指标分析	sdt	210403	data/figure/sdt/2022-11-11--纺织服装-华利集团-高效率+重研发+强运营构筑深厚壁垒，携手优质客户共同成长_page40_表15公司营业收入预测.jpg				5.0	2019年Yoy增长率与2018年相比有何变化？	提高	降低	不变		B
财务指标分析	lc	210429	data/figure/lc/2024-10-09--中信建投期货-中东地缘局势骤然升级，叠加降温过程推涨TTF_page17_美国居民商业需求Bcf预估.jpg				5.0	结合以上信息，你认为未来几年期货价格的走势会如何变化？以下为选项	期货价格将持续上涨	期货价格将持续下跌	期货价格将先跌后涨		C
财务指标分析	lc	210429	data/figure/lc/2024-10-09--中信建投期货-中东地缘局势骤然升级，叠加降温过程推涨TTF_page17_美国居民商业需求Bcf预估.jpg				6.0	如果你是投资者，你会如何根据这张图表进行投资决策？以下为选项	立即买入期货合约	等待价格稳定后再考虑买入	避免投资期货市场		B
财务指标分析	lc	210590	data/figure/lc/2024-07-26--中国银河-美国二季度GDP数据：经济韧性支持“软着陆”，首次降息仍是“预防性”_page4_图10新房库存升至9个月以上压制住宅投资.jpg				1.0	请你描述一下这个图片，以下为选项	该图表显示了新房库存比、成屋库存比和新屋成屋销售加权库存比的变化趋势。	该图表显示了美国GDP的增长情况。	该图表显示了中国银河的股价走势。		A
财务指标分析	lc	210590	data/figure/lc/2024-07-26--中国银河-美国二季度GDP数据：经济韧性支持“软着陆”，首次降息仍是“预防性”_page4_图10新房库存升至9个月以上压制住宅投资.jpg				2.0	根据图表，哪一年新房库存比达到了最高点？	2008年	2010年	2012年		A
财务指标分析	lc	210590	data/figure/lc/2024-07-26--中国银河-美国二季度GDP数据：经济韧性支持“软着陆”，首次降息仍是“预防性”_page4_图10新房库存升至9个月以上压制住宅投资.jpg				3.0	新房库存比在2008年达到最高点后，接下来几年的趋势如何？	持续下降	波动上升	保持稳定		A
财务指标分析	lc	210590	data/figure/lc/2024-07-26--中国银河-美国二季度GDP数据：经济韧性支持“软着陆”，首次降息仍是“预防性”_page4_图10新房库存升至9个月以上压制住宅投资.jpg				4.0	根据图表，新屋成屋销售加权库存比在2008年后的变化趋势与新房库存比有何不同？	新屋成屋销售加权库存比在2008年后持续下降，而新房库存比波动上升。	新屋成屋销售加权库存比在2008年后波动上升，而新房库存比持续下降。	新屋成屋销售加权库存比在2008年后保持稳定，而新房库存比波动上升。		B
财务指标分析	lc	210590	data/figure/lc/2024-07-26--中国银河-美国二季度GDP数据：经济韧性支持“软着陆”，首次降息仍是“预防性”_page4_图10新房库存升至9个月以上压制住宅投资.jpg				5.0	结合图表信息，你认为2008年新房库存比达到最高点的原因可能是什么？	经济衰退导致需求减少，库存增加。	房地产市场过热，供应过剩。	政府政策调整，限制购房。		A
财务指标分析	lc	210590	data/figure/lc/2024-07-26--中国银河-美国二季度GDP数据：经济韧性支持“软着陆”，首次降息仍是“预防性”_page4_图10新房库存升至9个月以上压制住宅投资.jpg				6.0	根据图表，2019-2021年间新房库存比和新屋成屋销售加权库存比的变化趋势有何特点？	两者都呈上升趋势，但新房库存比上升更快。	两者都呈下降趋势，但新房库存比下降更快。	新房库存比呈上升趋势，新屋成屋销售加权库存比呈下降趋势。		A
财务指标分析	lc	210593	data/figure/lc/2024-07-22--西南证券-宏观周报：货币政策保持稳健，“特朗普交易”加速_page9_图9农产品价格指数上升更新至2024年7月18日.jpg				1.0	请你描述一下这个图片，以下为选项	显示了2019年至2024年农产品批发价格指数的变化趋势	显示了2019年至2024年股票市场的波动情况	显示了2019年至2024年外汇汇率的变动		A
