fintype	type	index	image	md_path	background_story	information	round	question	A	B	C	D	answer
智能选股策略回测分析	cc	210019	data/figure/cc/five_k_688678[福立.].png				1.0	请你描述一下这个图片，以下为选项	这是一张股票的K线图，显示了股价在一段时间内的波动情况。	这是一张外汇汇率图，显示了货币兑换比率的变化。	这是一张商品期货价格图，显示了商品价格的波动情况。		A
智能选股策略回测分析	cc	210019	data/figure/cc/five_k_688678[福立.].png				2.0	根据K线图，以下哪一项技术指标可以帮助我们判断股价的趋势？	成交量	移动平均线（MA）	相对强弱指数（RSI）		B
智能选股策略回测分析	cc	210019	data/figure/cc/five_k_688678[福立.].png				3.0	在这张K线图中，我们可以看到多条移动平均线，其中哪一条是短期移动平均线？	红色	黄色	绿色		B
智能选股策略回测分析	cc	210019	data/figure/cc/five_k_688678[福立.].png				4.0	根据图中的移动平均线，以下哪种情况表明股价可能进入上涨趋势？	短期移动平均线从下向上穿过长期移动平均线	短期移动平均线从上向下穿过长期移动平均线	短期移动平均线与长期移动平均线平行		A
智能选股策略回测分析	cc	210041	data/figure/cc/five_k_688592[司南导航].png				1.0	请你描述一下这个图片，以下为选项	这是一张股票的日K线图，显示了股价的波动情况。	这是一张外汇汇率走势图，显示了货币对的变化。	这是一张期货合约的价格走势图，显示了期货价格的波动。		A
智能选股策略回测分析	cc	210041	data/figure/cc/five_k_688592[司南导航].png				2.0	根据第一轮的回答，这张K线图显示了股价在一段时间内的变化趋势，请问在这段时间内股价的整体趋势是？	上升趋势	下降趋势	横盘整理		A
智能选股策略回测分析	cc	210041	data/figure/cc/five_k_688592[司南导航].png				3.0	根据第三轮的回答，如果股价在短期内跌破5日均线，你认为接下来最有可能发生的情况是什么？	股价将继续下跌，测试10日均线的支撑	股价将迅速反弹，重新站上5日均线	股价将维持在5日均线附近震荡		A
智能选股策略回测分析	cc	210041	data/figure/cc/five_k_688592[司南导航].png				4.0	结合第五轮的回答，如果股价在高位且成交量缩小，投资者应该采取什么策略？	积极买入，因为这是买入的好时机	谨慎观望，因为这可能是股价即将回调的信号	立即卖出，因为股价肯定会下跌		B
智能选股策略回测分析	cc	210064	data/figure/cc/five_k_688486[龙迅股份].png				1.0	请你描述一下这个图片，以下为选项	这是一张股票的K线图，显示了股价的波动情况。	这是一张外汇汇率图，显示了货币兑换比率。	这是一张商品期货价格图，显示了商品价格的波动。		A
智能选股策略回测分析	cc	210064	data/figure/cc/five_k_688486[龙迅股份].png				2.0	根据K线图，以下哪一项技术指标可以帮助判断趋势方向？	成交量（Volume）	移动平均线（Moving Average）	相对强弱指数（RSI）		B
智能选股策略回测分析	cc	210064	data/figure/cc/five_k_688486[龙迅股份].png				3.0	在图中，哪条均线可以作为短期趋势的参考？	黄色均线（MA5）	绿色均线（MA10）	紫色均线（MA20）		A
智能选股策略回测分析	cc	210064	data/figure/cc/five_k_688486[龙迅股份].png				4.0	如果投资者希望利用图中的信息进行短线交易，以下哪种策略最为合适？	逢低买入，逢高卖出	突破买入，回调卖出	逆势操作，低买高卖		B
智能选股策略回测分析	cc	210064	data/figure/cc/five_k_688486[龙迅股份].png				5.0	结合图中的均线和K线形态，以下哪种市场情绪最有可能主导当前的市场？	市场处于强势上涨阶段，多头情绪浓厚	市场处于震荡整理阶段，多空力量均衡	市场处于弱势下跌阶段，空头情绪浓厚		A
智能选股策略回测分析	cc	210076	data/figure/cc/five_k_688409[富创精密].png				1.0	请你描述一下这个图片，以下为选项	这是一张股票的K线图，显示了股价的波动情况。	这是一张外汇汇率图，显示了货币对的变化。	这是一张商品期货价格图，显示了期货价格的走势。		A
