fintype	type	index	image	md_path	background_story	information	round	question	A	B	C	D	answer
资产配置分析	frg	320074	data/figure/frg/2023-02-12--中药-健民集团-公司首次覆盖报告：打造儿药优势品种，体培牛黄有望持续贡献收益_page3_图1健民集团股权结构据2022年公司三季报统计.jpg					图中昆药集团股份有限公司的直接股东有哪些？	无法确定	华润医药控股有限公司、香港中央结算有限公司、其他	海南天禾健康产业有限公司、昆药集团健康服务有限公司、云南昆药生活服务有限公司、西双版纳版纳药业有限责任公司、昆明中药厂有限公司	华立集团股份有限公司、其他	A
资产配置分析	hg	130242	data/figure/hg/2024-06-04--国金证券-大类资产月报第13期：6月展望，“预期”或将起变化？_page15_图表39本月美国标普500行业多数上涨.jpg					哪些行业在本月的涨幅低于2.00%？	日常消费	医疗保健	工业	可选消费	C;D
资产配置分析	frg	130354	data/figure/frg/2023-05-18--半导体-圣邦股份-品类持续深挖，高端加速推进，模拟龙头稳健发展_page6_图1公司业务布局及产品应用领域.jpg					以下哪些产品属于信号链类别？	运算放大器及比较器	音频功率放大器	视频缓冲器	电池保护芯片	A;B;C
资产配置分析	frg	130355	data/figure/frg/2023-06-27--有色金属-兴业银锡-银漫技改提升选矿回收率，银、锡产量有望连续上台阶_page1_图1兴业银锡股权结构.jpg					在内蒙古兴业银锡矿业股份有限公司的股权结构中，哪些股东持股比例低于20%？	国民信托有限公司	赤峰富龙公用（集团）有限责任公司	香港中央结算有限公司	吉兴军	A;B;C
资产配置分析	frg	130403	data/figure/frg/2023-08-24--工程机械-浙江鼎力-全球高空作业平台龙头，受益海外高景气及臂式产品放量_page6_图4公司实控人持股比例达5012股权结构稳定截止2023年6月30日.jpg					在浙江鼎力机械股份有限公司的股权结构中，哪些股东持股比例低于20%？	香港中央结算有限公司	沈志康	德清中鼎股权投资管理有限公司	其他	A;B;C
资产配置分析	frg	130412	data/figure/frg/2023-01-16--航空机场-上海机场-点评报告：合资收购日上资产，深度协同行稳致远_page4_图表4收购完成后预计上海机场对日上互联标的公司核心资产分别持有9901254股权.jpg					以下哪些公司是上海机场集团的子公司？	尚冕商业发展	日上互联	Uni-Champion	中免大兴	A
资产配置分析	frg	130426	data/figure/frg/2023-07-20--农牧饲渔-巨星农牧-进击的巨星_page5_图2巨星农牧股权结构截至1Q23.jpg					以下哪些股东直接或间接持有乐山巨星农牧股份有限公司的股份？	贺正刚	贺正群	四川和邦投资集团有限公司	四川巨星企业集团有限公司	A;B;C;D
资产配置分析	frg	130471	data/figure/frg/2023-01-26--消费电子-拓邦股份-新能源业务快速发展，盈利改善拐点已现_page6_图3公司股权架构截至2022年9月30日.jpg					以下哪些股东直接或间接持有拓邦股份的股权比例超过5%？	武永强	纪树海	谢仁国	香港中央结算有限公司	A;D
资产配置分析	frg	130481	data/figure/frg/2023-03-06--家电行业-德业股份-逆变器后起之秀，拓展光储赛道迎新发展_page4_图2德业股份股权结构.jpg					图中直接持股比例超过20%的股东有哪些？	张和君（实际控制人）	艾思睿投资管理有限公司	亨丽投资管理合伙企业	香港中央结算有限公司	A;B
资产配置分析	frg	130541	data/figure/frg/2023-02-09--光伏设备-芯能科技-工商业分布式光伏优质运营商，储能和充电桩业务有望打造新的增长点_page4_图2公司股权结构截至2022年三季度末.jpg					图中直接持有芯能科技股份的股东有哪些？	张利忠	张文娟	张震豪	戴建康	A;B;C;D
