fintype	type	index	image	md_path	background_story	information	round	question	A	B	C	D	answer
金融数据推理与理解	frg	320053	data/figure/frg/2023-06-19--电力行业-宝新能源-湾区民营火电龙头，盈利修复弹性逐显_page4_图表2宝新能源股权结构图截至2023Q1.jpg					宝新能源在2017年布局新金融产业的具体行动是什么？	投资建设陆丰甲湖湾（陆上）风电场一期项目	发起设立梅州客商银行（30%股权），布局金融产业	参股中广核汕尾海上风电	无法确定	D
金融数据推理与理解	frg	320054	data/figure/frg/2023-12-05--汽车零部件-新坐标-精密冷锻件龙头，布局全产业链发展_page6_图7新坐标股权结构.jpg					根据图中的流程，哪个环节是设计之后的直接步骤？	无法确定	精加工	装配	检验	A
金融数据推理与理解	pg	320095	data/figure/pg/2023-09-28--装修建材-欧派家居-进击大家居之巅：破浪前行，勇者无疆_page18_图3823年Q1按品类分下单业绩.jpg					根据图中的业务占比情况，厨房独立的占比是衣柜独立的多少倍？	0.5倍	1倍	无法确定	3倍	C
金融数据推理与理解	pg	320099	data/figure/pg/2022-12-28--小金属-博迁新材-高端粉体材料平台企业雏形已现_page7_图表132020年中国电容器市场结构分布.jpg					根据2019年全球电容器市场结构分布，陶瓷电容器的市场份额占比是多少？	49%	无法确定	8%	7%	B
金融数据推理与理解	lc	320162	data/figure/lc/2024-02-26--东吴证券-海外宏观经济周报：美国经济表现是否会让降息预期一降再降？_page1_no_caption.jpg					图中显示，20年期抵押贷款固定利率在哪一年达到峰值？	无法确定	2022	2023	2024	A
金融数据推理与理解	lc	320163	data/figure/lc/2023-07-31--国金证券-见微知著系列之五十八：库存周期下，蕴藏的投资机遇_page7_图表205月发改委项目核准加快.jpg					在图表中，哪一年的曲线在10月后首次超过2万亿元？	2018	2019	2020	无法确定	D
金融数据推理与理解	hg	320190	data/figure/hg/2022-11-27--粤开证券-【粤开宏观】负重前行的财政，逆势崛起的基建：2023年财政和基建形势展望_page5_图表2历年110月财政收入进度.jpg					从2020年到2024年，一般公共预算收入进度的变化趋势是？	逐年上升	逐年下降	无法确定	先升后降	C
金融数据推理与理解	lc	130052	data/figure/lc/2024-02-26--国金证券-海外周度观察：“廉价的”日本！_page15_图表44日本年初出pmbpi有较为明显改善.jpg					图中哪些时间段日本进口金额的同比增速为负？	15-Jan	16-Jun	18-Oct	20-Jul	A;B
金融数据推理与理解	lc	130067	data/figure/lc/2023-07-19--农银国际证券-中国第2季经济复苏偏疲弱_page10_图6中通快递季度单票收入不包括货代业务人民币票.jpg					图中哪些季度的单票收入达到最高点？	1Q2020	1Q2022	4Q2022	1Q2023	A;C
金融数据推理与理解	lc	130076	data/figure/lc/2023-04-26--中国银河-2023年二季度宏观经济展望：始于足下_page28_图75对港日韩出口增速美元当月同比.jpg					哪些年份对韩国出口增速为负值？	22-Aug	22-Nov	23-Jan	23-Mar	B;C
